strain	date	country	continent
MH675620.1	2016-05	Puerto Rico	North America
MH675621.1	2016-05	Puerto Rico	North America
MH675622.1	2016-06	Puerto Rico	North America
MH675623.1	2016-06	Puerto Rico	North America
MH675624.1	2016-06	Puerto Rico	North America
MH675625.1	2016-08	Puerto Rico	North America
MH675626.1	2016-08	Puerto Rico	North America
MH675627.1	2016-08	Puerto Rico	North America
MH675628.1	2016-08	Puerto Rico	North America
MH675629.1	2016-08	Puerto Rico	North America
MH675630.1	2016-09	USA	North America
MH718911.1	2015-05-25	Russia	Europe
MH718912.1	2015-06-18	Russia	Europe
MH718913.1	2013-01-10	Russia	Europe
MH718914.1	2012-12-29	Russia	Europe
MH718915.1	2013-01-10	Russia	Europe
MH718916.1	2013-01-10	Russia	Europe
MH718917.1	2013-01-23	Russia	Europe
MH718918.1	2013-01-03	Russia	Europe
MH718919.1	2012-01-07	Russia	Europe
MH718920.1	2013-01-10	Russia	Europe
