strain	date	country	continent
KY325480.1	2016-07-28	USA	North America
KY325481.1	2016-07-29	USA	North America
KY325482.1	2016-08-24	USA	North America
KY325483.1	2016-08-24	USA	North America
KY328290.1	2016-11-03	China	Asia
KY348640.1	2016-01-22	Suriname	South America
KY354186.1	2015-04	Brazil	South America
KY354187.1	2016-01	Brazil	South America
KY379148.1	2016-02-29	China	Asia
KY415986.1	2014-05-29	Haiti	North America
KY415987.1	2014-05-29	Haiti	North America
KY415988.1	2014-06-05	Haiti	North America
KY415989.1	2014-06-10	Haiti	North America
KY415990.1	2014-06-02	Haiti	North America
KY415991.1	2014-06-24	Haiti	North America
KY441401.1	2016-02-29	Brazil	South America
KY441402.1	2016-04-05	Brazil	South America
KY441403.1	2016-01-11	Brazil	South America
KY465607.1	2016-10-26	Ecuador	South America
KY553111.1	2016-04	South Korea	Asia
KY558989.1	2015-02-23	Brazil	South America
KY558990.1	2016-01-15	Brazil	South America
KY558991.1	2016-01-19	Brazil	South America
KY558992.1	2016-01-06	Brazil	South America
KY558993.1	2016-01-18	Brazil	South America
KY558994.1	2016-01-18	Brazil	South America
KY558995.1	2015-05-13	Brazil	South America
KY558996.1	2015-05-13	Brazil	South America
KY558997.1	2015-05-14	Brazil	South America
KY558998.1	2015-06-15	Brazil	South America
KY558999.1	2016-07-10	Brazil	South America
KY559000.1	2015-08-09	Brazil	South America
KY559001.1	2015-08-20	Brazil	South America
KY559002.1	2015-09-09	Brazil	South America
KY559003.1	2015-08-28	Brazil	South America
KY559004.1	2016-04-16	Brazil	South America
KY559005.1	2016-04-18	Brazil	South America
KY559006.1	2016-04-18	Brazil	South America
KY559007.1	2016-04-18	Brazil	South America
KY559008.1	2016-04-19	Brazil	South America
KY559009.1	2016-04-19	Brazil	South America
KY559010.1	2016-04-19	Brazil	South America
KY559011.1	2016-04-19	Brazil	South America
KY559012.1	2016-04-19	Brazil	South America
KY559013.1	2016-04-24	Brazil	South America
KY559014.1	2016-04-24	Brazil	South America
KY559015.1	2016-04-24	Brazil	South America
KY559016.1	2016-04-25	Brazil	South America
KY559017.1	2016-05-19	Brazil	South America
KY559018.1	2016-02-25	Brazil	South America
KY559019.1	2016-05-24	Brazil	South America
KY559020.1	2016-03-07	Brazil	South America
KY559021.1	2016-03-10	Brazil	South America
KY559022.1	2016-03-13	Brazil	South America
KY559023.1	2016-03-22	Brazil	South America
KY559024.1	2016-03-03	Brazil	South America
KY559025.1	2016-01-15	Brazil	South America
KY559026.1	2016-01-15	Brazil	South America
KY559027.1	2016-02-16	Brazil	South America
KY559028.1	2016-01	Brazil	South America
KY559029.1	2016-01	Brazil	South America
KY559030.1	2016-01	Brazil	South America
KY559031.1	2016-01	Brazil	South America
KY559032.1	2016-01	Brazil	South America
KY561343.1	2016-02-19	Brazil	South America
KY561344.1	2016-02-19	Brazil	South America
KY561345.1	2016-02-24	Brazil	South America
KY576904.1	1989	Central African Republic	Africa
KY606271.1	2016-03-05	Mexico	North America
KY606272.1	2016-08-05	Mexico	North America
KY606273.1	2016-06-30	Mexico	North America
KY606274.1	2016-07-07	Mexico	North America
KY631492.1	2016-01-08	Brazil	South America
KY631493.1	2015-10-15	Mexico	North America
KY693676.1	2016-08-26	Honduras	North America
KY693677.1	2016-08-26	Honduras	North America
KY693678.1	2016-06-28	Peru	South America
KY693679.1	2016-07-11	Peru	South America
KY693680.1	2016-10-19	Venezuela	South America
KY765303.1	2016-06-13	Spain	Europe
KY765304.1	2016-09-21	Spain	Europe
KY765305.1	2016-04-29	Spain	Europe
KY765306.1	2016-03-29	Spain	Europe
KY765307.1	2016-03-10	Spain	Europe
KY765308.1	2016-03-11	Spain	Europe
KY765309.1	2016-06-11	Spain	Europe
