strain	date	country	continent
PQ572768.1	2024-08-19	Cuba	North America
PQ572769.1	2024-08-20	Cuba	North America
PQ572770.1	2024-09-02	Cuba	North America
PQ572771.1	2024-09-02	Cuba	North America
PQ572772.1	2024-08-19	Cuba	North America
PQ572773.1	2024-08-20	Cuba	North America
PQ572774.1	2024-09-02	Cuba	North America
PQ572775.1	2024-09-02	Cuba	North America
PQ572776.1	2024-08-19	Cuba	North America
PQ572777.1	2024-08-20	Cuba	North America
PQ572778.1	2024-09-02	Cuba	North America
PQ572779.1	2024-09-02	Cuba	North America
PQ619754.1	2020-12-19	Peru	South America
PQ619755.1	2020-12-19	Peru	South America
PQ619756.1	2020-12-19	Peru	South America
PQ634468.1	2024-03-07	Bolivia	South America
PQ634469.1	2024-03-27	Bolivia	South America
PQ634470.1	2024-05-17	Bolivia	South America
PQ634471.1	2024-03-18	Bolivia	South America
PQ634472.1	2024-02-15	Bolivia	South America
PQ634473.1	2024-02-07	Bolivia	South America
PQ634474.1	2024-01-19	Bolivia	South America
PQ634475.1	2024-02-01	Bolivia	South America
PQ634476.1	2024-02-29	Bolivia	South America
PQ634477.1	2024-04-12	Bolivia	South America
PQ634478.1	2024-05-02	Bolivia	South America
PQ634479.1	2024-03-19	Bolivia	South America
PQ634480.1	2024-03-21	Bolivia	South America
PQ634481.1	2024-03-25	Bolivia	South America
PQ634482.1	2024-04-09	Bolivia	South America
PQ634483.1	2024-04-12	Bolivia	South America
PQ634484.1	2024-04-14	Bolivia	South America
PQ634485.1	2024-04-10	Bolivia	South America
PQ634486.1	2024-04-10	Bolivia	South America
PQ634487.1	2024-04-12	Bolivia	South America
PQ634488.1	2024-04-16	Bolivia	South America
PQ634489.1	2024-04-11	Bolivia	South America
PQ634490.1	2024-04-15	Bolivia	South America
PQ634491.1	2024-04-16	Bolivia	South America
PQ634492.1	2024-03-29	Bolivia	South America
PQ634493.1	2024-01-26	Bolivia	South America
PQ634494.1	2024-01-29	Bolivia	South America
PQ634495.1	2024-04-01	Bolivia	South America
PQ634496.1	2024-04-06	Bolivia	South America
PQ634497.1	2024-03-27	Bolivia	South America
PQ634498.1	2024-03-01	Bolivia	South America
PQ634499.1	2024-04-15	Bolivia	South America
PQ634500.1	2024-04-06	Bolivia	South America
PQ634501.1	2024-04-22	Bolivia	South America
PQ634502.1	2024-03-07	Bolivia	South America
PQ634503.1	2024-02-01	Bolivia	South America
PQ634504.1	2024-03-27	Bolivia	South America
PQ634505.1	2024-05-17	Bolivia	South America
